,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,3.6329015254974366,0.04612038887540873,0.1369490623474121,0.004983906528293446,0.001,balanced,1,linear,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 1, 'model__kernel': 'linear'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
107,4.175716924667358,0.01959573098257481,0.15710663795471191,0.001994289529331304,0.1,balanced,0.001,sigmoid,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
149,4.170676565170288,0.022774626761537367,0.16019120216369628,0.003997807348613588,1,balanced,0.001,sigmoid,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
33,3.627187204360962,0.05815866614342191,0.1342195987701416,0.008123323840079561,0.001,balanced,10,linear,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 10, 'model__kernel': 'linear'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
24,3.6173649787902833,0.049319300947193515,0.1321409225463867,0.0042000555189826054,0.001,balanced,0.01,linear,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
36,3.6613986492156982,0.07265851396321513,0.13060898780822755,0.004143722738844618,0.001,balanced,100,linear,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 100, 'model__kernel': 'linear'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
21,3.5751562118530273,0.03361118851302111,0.13917164802551268,0.005693945730866506,0.001,balanced,0.001,linear,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'linear'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
39,3.646868658065796,0.02249953321869691,0.13222112655639648,0.0026098169804990514,0.001,balanced,1000,linear,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 1000, 'model__kernel': 'linear'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
65,4.1855638980865475,0.06597879604999039,0.15624651908874512,0.005098823482077175,0.01,balanced,0.001,sigmoid,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
68,4.2399615287780765,0.13053629295451605,0.16159429550170898,0.009490772391747709,0.01,balanced,0.01,sigmoid,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.8538694547586475,0.8672317764315027,0.8487761383623216,0.8908418018370138,0.8994905385735079,0.8720419419925987,0.020007672468265972,152
